,2D-0,2D-1,3D-0,3D-1,3D-2,Country,class,binary_class,continent_name,ISO_A3,continent_colors
50,-0.3933050243112869,0.06981490837016063,-0.39330502431132464,0.06981462714200624,-0.22017019378794173,ESWATINI,America,red,Africa,SWZ,orange
51,-0.3400480486293276,-0.02371885577559245,-0.3400480486301548,-0.02371805761651305,-0.1995326515630244,ETHIOPIA,America,red,Africa,ETH,orange
52,-0.37095962353815465,0.04153097067595717,-0.37095962353896167,0.04153134017619979,-0.05670982317105588,FIJI,America,red,Australia,FJI,blue
53,-0.3021383717873735,0.18492528513167786,-0.302138371786204,0.18492597624830234,0.04849469476576384,FINLAND,America,red,Europe,FIN,purple
54,-0.3998906744794153,0.2715173795427325,-0.39989067447976445,0.27151570278494846,0.24706377344881042,FRANCE,America,red,Europe,FRA,purple
55,-0.3338069973940263,-0.1545243213220922,-0.33380699739526354,-0.15452670451885075,-0.16204986712756797,GABON,America,red,Africa,GAB,orange
56,-0.3642811950569611,-0.02838943656942735,-0.3642811950586903,-0.0283905849759153,-0.1375351084821529,GAMBIA,America,red,Africa,GMB,orange
57,-0.24254065877588818,0.04583928485563203,-0.24254065877648667,0.045838416416929546,-0.029999338475822233,GEORGIA,America,red,Europe,GEO,purple
58,-0.24497446799132716,0.19263453385549065,-0.24497446799019384,0.1926338053703575,0.10068023761822104,GERMANY,America,red,Europe,DEU,purple
59,-0.3305366420537142,-0.1360312190623506,-0.3305366420538404,-0.1360315906064396,-0.16072092137664354,GHANA,America,red,Africa,GHA,orange
60,-0.334853520747855,0.09384562640557896,-0.3348535207482157,0.09384638880594551,0.04311747650607269,GREECE,America,red,Europe,GRC,purple
61,-0.35921372572595744,-0.30542119092210573,-0.35921372572546495,-0.3054217658561055,0.38701967794969966,GUATEMALA,America,red,Central America,GTM,lightgreen
62,-0.36663025184271303,-0.20845875336863118,-0.3666302518415726,-0.20845945286957013,0.10697918600954817,GUINEA,America,red,Africa,GIN,orange
63,-0.31195422034888703,-0.1421276844764272,-0.3119542203508518,-0.14212979353290348,-0.0676308497913231,GUYANA,America,red,South America,GUY,green
64,-0.3123501747644266,-0.11672761519992385,-0.3123501747650037,-0.11672695770656961,-0.013554129075970419,HAITI,America,red,North America,HTI,yellow
65,-0.3298540003576525,0.24474702891933936,-0.3298540003582481,0.2447454616119283,-0.01294780202824437,HOLY SEE,America,red,Europe,VAT,purple
66,-0.3734858716380608,-0.3141514712595253,-0.3734858716375343,-0.3141513943545198,0.33182098349643413,HONDURAS,America,red,Central America,HND,lightgreen
67,-0.3149214835517894,0.21757644949088234,-0.31492148354891314,0.2175772595219255,-0.022996896152146794,ICELAND,America,red,Europe,ISL,purple
68,-0.3999059813882418,-0.042778191839919086,-0.3999059813895084,-0.042778310524731626,0.14713300548230743,INDIA,America,red,Asia,IND,red
69,-0.3461845483373402,-0.08054036000247618,-0.3461845483322727,-0.08053746489502835,0.06505249648278975,INDONESIA,America,red,Asia,IDN,red
