state_actor,country,handle,user_id
United States of America,Colombia,USEmbassyBogota,85867670
United States of America,Comoros,USComoros,1021298175330615296
United States of America,Congo,USEmbassyBrazza,2810124823
United States of America,"Congo, Democratic Republic Of The",USEmbKinshasa,61162525
United States of America,Costa Rica,usembassysjo,19738801
United States of America,Côte D'Ivoire,USEmbAbidjan,1116262315
United States of America,Croatia,USEmbZagreb,2900480087
United States of America,Cuba,USEmbCuba,133769083
United States of America,Cyprus,USEmbassyCyprus,18714842
United States of America,Czechia,USEmbassyPrague,82306946
United States of America,Denmark,usembdenmark,19912974
United States of America,Djibouti,US_Emb_Djibouti,179832889
United States of America,Dominican Republic,EmbajadaUSAenRD,35727265
United States of America,Ecuador,USembassyEC,73050516
United States of America,Egypt,USEmbassyCairo,76945884
United States of America,El Salvador,USEmbassySV,1364880882
United States of America,Equatorial Guinea,USEmbassyEG,756478622093967360
United States of America,Estonia,USEmbTallinn,18719228
United States of America,Eswatini,USEmbEswatini,254140080
United States of America,Ethiopia,USEmbassyAddis,2438067822
United States of America,Fiji,USEmbassySuva,1902330746
United States of America,Finland,usembfinland,189056999
United States of America,France,USEmbassyFrance,72814599
United States of America,Gabon,usembassygabon,90410353
United States of America,Georgia,usingeo,250705901
United States of America,Germany,USEmbassyBanjul,732674730
United States of America,Ghana,USEmbassyGhana,217079025
United States of America,Greece,USEmbassyAthens,29395463
United States of America,Guatemala,usembassyguate,23664866
United States of America,Guinea,EmbassyConakry,145653919
United States of America,Guyana,EmbassyGuyana,163550067
United States of America,Haiti,USEmbassyHaiti,133379712
United States of America,Holy See,USinHolySee,947388787
United States of America,Honduras,usembassyhn,179563308
United States of America,Iceland,usembreykjavik,249174648
United States of America,India,USAndIndia,41533816
United States of America,Indonesia,usembassyjkt,47279525
United States of America,Iraq,USEmbBaghdad,112356528
United States of America,Ireland,USEmbassyDublin,88956373
United States of America,Israel,usembassyjlm,44309594
United States of America,Italy,AmbasciataUSA,36624443
United States of America,Jamaica,USEmbassyJA,2359516206
United States of America,Japan,ACSTokyo,1547074376
United States of America,Jordan,JoEmbassyUS,611439177
United States of America,Kazakhstan,USembassyKAZ,216625028
United States of America,Kenya,USEmbassyKenya,70636581
United States of America,"Korea, Republic Of",USEmbassySeoul,61426538
United States of America,Kosovo,USEmbPristina,1324616624
United States of America,Kuwait,USEmbassyQ8,208469691
United States of America,Kyrgyzstan,USEmbassyKG,131031879
United States of America,Lao People'S Democratic Republic,usembassyvte,4504696038
United States of America,Latvia,USEmbassyRiga,77951180
United States of America,Lebanon,usembassybeirut,246154927
United States of America,Lesotho,USEmbassyMaseru,250958881
United States of America,Liberia,embassymonrovia,289241101
United States of America,Libya,USAEmbassyLibya,587257369
United States of America,Lithuania,USEmbVilnius,2498901252
United States of America,Luxembourg,USEmbLuxembourg,833031638
United States of America,Madagascar,USMadagascar,217403591
United States of America,Malawi,USEmbassyLLW,758303211925020673
United States of America,Malaysia,usembassykl,159002621
United States of America,Mali,USEmbassyMali,461359076
United States of America,Malta,usembmalta,343949927
United States of America,Mauritania,usembnouakchott,1407934586
United States of America,Mauritius,USEmbassyMoris,1013319183432495104
United States of America,"Micronesia, Federated States Of",USEmbassyFSM,589708363
United States of America,"Moldova, Republic Of",USembMoldova,130804178
United States of America,Mongolia,usembmongolia,352911563
United States of America,Montenegro,USEmbassyMNE,2291219215
United States of America,Morocco,USEmbMorocco,468731306
United States of America,Mozambique,USEmbassyMaputo,20593889
United States of America,Myanmar,USEmbassyBurma,537204717
United States of America,Namibia,USEmbNamibia,384760676
United States of America,Nepal,USEmbassyNepal,58743813
United States of America,Netherlands,usembthehague,64403845
United States of America,New Zealand,usembassynz,35617996
United States of America,Nicaragua,USEmbNicaragua,389075192
