,2D-0,2D-1,3D-0,3D-1,3D-2,Country,class,binary_class,continent_name,ISO_A3,continent_colors
95,-1.9065720907731416,-0.8918599196817334,-1.9065720907731427,-0.8918599196817989,-0.3336444768209997,MAURITANIA,America,red,Africa,MRT,orange
96,-1.7323446541180068,-0.7505789100369551,-1.732344654118008,-0.7505789100369229,-0.46619851070441976,MAURITIUS,America,red,Africa,MUS,orange
97,-1.062420434848653,-0.5488875162775418,-1.0624204348486554,-0.5488875162775665,-0.4351192006731407,"MICRONESIA, FEDERATED STATES OF",America,red,Australia,FSM,blue
98,0.5660015221221308,-0.8886395044994788,0.5660015221221315,-0.8886395044994331,0.1425665839592875,"MOLDOVA, REPUBLIC OF",America,red,Europe,MDA,purple
99,-1.1438164738902838,-0.4215005623523396,-1.1438164738902838,-0.4215005623524235,-0.30364118931885253,MONGOLIA,America,red,Asia,MNG,red
100,-0.9439739409755582,-0.34945675589863207,-0.9439739409755592,-0.34945675589858655,1.1125580870429366,MONTENEGRO,America,red,Europe,MNE,purple
101,-1.2016320885322291,0.7669133659880731,-1.2016320885322314,0.766913365988112,-0.05012051413733695,MOROCCO,America,red,Africa,MAR,orange
102,-1.7544868752615836,-0.8599667057545672,-1.754486875261585,-0.8599667057546667,-0.3522362598771752,MOZAMBIQUE,America,red,Africa,MOZ,orange
103,-1.350233896867517,-0.8301818181766334,-1.3502338968675174,-0.8301818181765235,0.03619146713007623,MYANMAR,America,red,Asia,MMR,red
104,-1.5699921005954056,-0.588320915692632,-1.5699921005954076,-0.5883209156924994,-0.31049496356427025,NEPAL,America,red,Asia,NPL,red
105,-1.783850931616009,-0.76830252110332,-1.7838509316160103,-0.7683025211032243,-0.4079893537641488,NETHERLANDS,America,red,Europe,NLD,purple
106,-0.6274131271904793,3.1286105735126695,-0.6274131271904795,3.128610573512589,0.19548104316244894,NEW ZEALAND,America,red,Australia,NZL,blue
107,-1.3283814637883231,0.480481886087458,-1.3283814637883244,0.480481886087436,0.0319161599248312,NICARAGUA,America,red,Central America,NIC,lightgreen
108,-1.8817255984023378,-0.9377217827536326,-1.8817255984023395,-0.9377217827535498,0.011263920481920122,NIGER,America,red,Africa,NER,orange
109,-1.4854928478884475,-0.9109619871563849,-1.4854928478884482,-0.910961987156467,-0.33860154876624704,NIGERIA,America,red,Africa,NGA,orange
110,-1.6482319641929246,-0.7322333433527555,-1.648231964192926,-0.732233343352744,-0.390762617005558,NORTH MACEDONIA,America,red,Europe,MKD,purple
111,-0.8794598492385028,-0.7064418875996796,-0.879459849238504,-0.7064418875996314,1.228759349210966,NORWAY,America,red,Europe,NOR,purple
112,-1.5274557702128053,-0.8673291410412103,-1.5274557702128067,-0.8673291410411217,0.26374084783773843,OMAN,America,red,Asia,OMN,red
113,-1.0079494086982446,-0.8278629982730716,-1.0079494086982455,-0.8278629982731158,1.1216646226665534,PAKISTAN,America,red,Asia,PAK,red
114,-0.6081484293054671,3.251414585976018,-0.6081484293054671,3.2514145859759114,0.2955145225126382,"PALESTINE, STATE OF",America,red,Asia,PSE,red
115,-1.752642171424467,-0.6917598486166607,-1.75264217142447,-0.6917598486166263,-0.4558019723820071,PANAMA,America,red,Central America,PAN,lightgreen
116,-0.6860798171642675,3.2003297485471607,-0.6860798171642684,3.2003297485472046,0.1467261191323116,PAPUA NEW GUINEA,America,red,Australia,PNG,blue
117,-0.8998283053647331,2.213884285086423,-0.8998283053647331,2.2138842850862326,0.024061856651798098,PARAGUAY,America,red,South America,PRY,green
118,-1.8264979067787057,-0.7897287405414183,-1.8264979067787057,-0.7897287405416976,-0.2979318220977182,PERU,America,red,South America,PER,green
119,-0.8836781475632269,-0.12407218643957699,-0.8836781475632277,-0.12407218643950009,-0.1681011815438775,PHILIPPINES,America,red,Asia,PHL,red
120,-1.4799880368717044,0.02588534525867702,-1.4799880368717055,0.025885345258649627,-0.06515973906659288,POLAND,America,red,Europe,POL,purple
121,-0.6376697861052351,-0.8390568599585329,-0.6376697861052352,-0.83905685995852,1.8486587873409936,PORTUGAL,America,red,Europe,PRT,purple
122,-0.9766430744154111,0.33358687000633686,-0.9766430744154122,0.3335868700063362,-0.18617773607286214,QATAR,America,red,Asia,QAT,red
123,3.399204284295042,-0.3237939440607509,3.399204284295045,-0.32379394406074574,-0.19493915365901224,ROMANIA,America,red,Europe,ROU,purple
124,-1.6601865373974642,-0.6881623450401475,-1.6601865373974667,-0.6881623450398779,0.01777746183739835,RUSSIAN FEDERATION,America,red,Europe,RUS,purple
125,-1.6139699810328167,-0.6669294927713969,-1.6139699810328185,-0.6669294927712704,-0.31808728253249674,RWANDA,America,red,Africa,RWA,orange
126,0.2944355274563614,-0.7558858927000143,0.2944355274563615,-0.7558858926999373,3.3346880068383995,SAMOA,America,red,Australia,WSM,blue
127,-0.9696623403496168,1.616731264689189,-0.9696623403496172,1.616731264689181,0.012313620230563871,SAUDI ARABIA,America,red,Asia,SAU,red
128,0.5071003540706094,1.162195043370263,0.5071003540706126,1.1621950433699473,-0.3061070388428343,SENEGAL,America,red,Africa,SEN,orange
